Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,lifecycle:transition,concept:name,AMOUNT_REQ
173694,A_SUBMITTED-COMPLETE,112,10:30.3,Variant 3,3,COMPLETE,A_SUBMITTED,7000
173694,A_PARTLYSUBMITTED-COMPLETE,112,10:30.6,Variant 3,3,COMPLETE,A_PARTLYSUBMITTED,7000
173694,A_PREACCEPTED-COMPLETE,112,11:13.0,Variant 3,3,COMPLETE,A_PREACCEPTED,7000
173694,W_Completeren aanvraag-SCHEDULE,112,11:13.4,Variant 3,3,SCHEDULE,W_Completeren aanvraag,7000
173694,W_Completeren aanvraag-START,10912,31:25.3,Variant 3,3,START,W_Completeren aanvraag,7000
173694,W_Completeren aanvraag-COMPLETE,10912,35:59.6,Variant 3,3,COMPLETE,W_Completeren aanvraag,7000
173694,W_Completeren aanvraag-START,,12:02.4,Variant 3,3,START,W_Completeren aanvraag,7000
173694,W_Completeren aanvraag-COMPLETE,,21:22.4,Variant 3,3,COMPLETE,W_Completeren aanvraag,7000
173694,W_Completeren aanvraag-START,11201,21:06.6,Variant 3,3,START,W_Completeren aanvraag,7000
173694,W_Completeren aanvraag-COMPLETE,11201,32:43.3,Variant 3,3,COMPLETE,W_Completeren aanvraag,7000
173694,W_Completeren aanvraag-START,11201,32:52.8,Variant 3,3,START,W_Completeren aanvraag,7000
173694,A_ACCEPTED-COMPLETE,11201,34:25.4,Variant 3,3,COMPLETE,A_ACCEPTED,7000
173694,A_FINALIZED-COMPLETE,11201,40:14.6,Variant 3,3,COMPLETE,A_FINALIZED,7000
173694,O_SELECTED-COMPLETE,11201,40:14.6,Variant 3,3,COMPLETE,O_SELECTED,7000
173694,O_CREATED-COMPLETE,11201,40:15.6,Variant 3,3,COMPLETE,O_CREATED,7000
173694,O_SENT-COMPLETE,11201,40:15.7,Variant 3,3,COMPLETE,O_SENT,7000
173694,W_Nabellen offertes-SCHEDULE,11201,40:15.9,Variant 3,3,SCHEDULE,W_Nabellen offertes,7000
173694,W_Completeren aanvraag-COMPLETE,11201,40:17.1,Variant 3,3,COMPLETE,W_Completeren aanvraag,7000
173694,W_Nabellen offertes-START,11201,40:42.5,Variant 3,3,START,W_Nabellen offertes,7000
173694,O_SELECTED-COMPLETE,11201,44:17.6,Variant 3,3,COMPLETE,O_SELECTED,7000
173694,O_CANCELLED-COMPLETE,11201,44:17.6,Variant 3,3,COMPLETE,O_CANCELLED,7000
173694,O_CREATED-COMPLETE,11201,44:19.7,Variant 3,3,COMPLETE,O_CREATED,7000
173694,O_SENT-COMPLETE,11201,44:19.7,Variant 3,3,COMPLETE,O_SENT,7000
173694,W_Nabellen offertes-SCHEDULE,11201,44:20.0,Variant 3,3,SCHEDULE,W_Nabellen offertes,7000
173694,W_Nabellen offertes-COMPLETE,11201,44:21.3,Variant 3,3,COMPLETE,W_Nabellen offertes,7000
173694,W_Nabellen offertes-START,,46:59.9,Variant 3,3,START,W_Nabellen offertes,7000
173694,W_Nabellen offertes-COMPLETE,,47:18.8,Variant 3,3,COMPLETE,W_Nabellen offertes,7000
173694,W_Nabellen offertes-START,11119,29:54.2,Variant 3,3,START,W_Nabellen offertes,7000
173694,W_Nabellen offertes-COMPLETE,11119,34:36.0,Variant 3,3,COMPLETE,W_Nabellen offertes,7000
173694,W_Nabellen offertes-START,10912,15:44.6,Variant 3,3,START,W_Nabellen offertes,7000
173694,W_Nabellen offertes-COMPLETE,10912,16:42.2,Variant 3,3,COMPLETE,W_Nabellen offertes,7000
173694,W_Nabellen offertes-START,10861,41:28.4,Variant 3,3,START,W_Nabellen offertes,7000
173694,O_SELECTED-COMPLETE,10861,43:53.6,Variant 3,3,COMPLETE,O_SELECTED,7000
173694,O_CANCELLED-COMPLETE,10861,43:53.6,Variant 3,3,COMPLETE,O_CANCELLED,7000
173694,O_CREATED-COMPLETE,10861,43:55.2,Variant 3,3,COMPLETE,O_CREATED,7000
173694,O_SENT-COMPLETE,10861,43:55.4,Variant 3,3,COMPLETE,O_SENT,7000
173694,W_Nabellen offertes-SCHEDULE,10861,43:56.4,Variant 3,3,SCHEDULE,W_Nabellen offertes,7000
173694,W_Nabellen offertes-COMPLETE,10861,43:57.8,Variant 3,3,COMPLETE,W_Nabellen offertes,7000
173694,W_Nabellen offertes-START,,46:08.2,Variant 3,3,START,W_Nabellen offertes,7000
173694,W_Nabellen offertes-COMPLETE,,50:48.2,Variant 3,3,COMPLETE,W_Nabellen offertes,7000
173694,W_Nabellen offertes-START,11203,48:57.1,Variant 3,3,START,W_Nabellen offertes,7000
173694,W_Nabellen offertes-COMPLETE,11203,50:22.0,Variant 3,3,COMPLETE,W_Nabellen offertes,7000
173694,W_Nabellen offertes-START,11181,39:08.2,Variant 3,3,START,W_Nabellen offertes,7000
173694,W_Nabellen offertes-COMPLETE,11181,41:29.6,Variant 3,3,COMPLETE,W_Nabellen offertes,7000
173694,W_Nabellen offertes-START,11189,54:40.1,Variant 3,3,START,W_Nabellen offertes,7000
173694,W_Nabellen offertes-COMPLETE,11189,55:35.0,Variant 3,3,COMPLETE,W_Nabellen offertes,7000
173694,W_Nabellen offertes-START,11119,16:31.1,Variant 3,3,START,W_Nabellen offertes,7000
173694,W_Nabellen offertes-COMPLETE,11119,21:02.4,Variant 3,3,COMPLETE,W_Nabellen offertes,7000
173694,W_Nabellen offertes-START,11049,11:44.3,Variant 3,3,START,W_Nabellen offertes,7000
173694,O_SENT_BACK-COMPLETE,11049,15:16.2,Variant 3,3,COMPLETE,O_SENT_BACK,7000
173694,W_Valideren aanvraag-SCHEDULE,11049,15:16.4,Variant 3,3,SCHEDULE,W_Valideren aanvraag,7000
173694,W_Nabellen offertes-COMPLETE,11049,15:18.7,Variant 3,3,COMPLETE,W_Nabellen offertes,7000
173694,W_Valideren aanvraag-START,10609,24:22.0,Variant 3,3,START,W_Valideren aanvraag,7000
173694,O_ACCEPTED-COMPLETE,10609,04:52.6,Variant 3,3,COMPLETE,O_ACCEPTED,7000
173694,A_APPROVED-COMPLETE,10609,04:52.6,Variant 3,3,COMPLETE,A_APPROVED,7000
173694,A_REGISTERED-COMPLETE,10609,04:52.6,Variant 3,3,COMPLETE,A_REGISTERED,7000
173694,A_ACTIVATED-COMPLETE,10609,04:52.6,Variant 3,3,COMPLETE,A_ACTIVATED,7000
173694,W_Valideren aanvraag-COMPLETE,10609,05:01.5,Variant 3,3,COMPLETE,W_Valideren aanvraag,7000
173694,W_Wijzigen contractgegevens-SCHEDULE,10912,29:26.3,Variant 3,3,SCHEDULE,W_Wijzigen contractgegevens,7000
